epoch,acc,loss,val_acc,val_loss
0,0.663659479607,0.908028376223,0.618417400017,1.06380925293
1,0.658295308094,0.916670043869,0.628030105348,1.03807452986
2,0.658852624615,0.917369822814,0.629144621787,1.01961211754
3,0.661081890696,0.916155419454,0.633324059112,1.01875135489
4,0.661674039502,0.909618599057,0.628448048511,1.03887501154
5,0.661325716675,0.907696372584,0.630119824045,1.00521396518
6,0.665470758303,0.910156967276,0.63262748597,1.0339345044
7,0.660350412765,0.913357166328,0.631373654624,1.01985290302
8,0.661987530045,0.907396583118,0.639314585113,0.997287286128
9,0.661743704069,0.908600907527,0.63959321449,1.00274203698
10,0.664704448084,0.900928200489,0.625522442799,1.02672100408
11,0.664216796129,0.902733433978,0.621064376419,1.0422149923
12,0.665610087433,0.899734633578,0.642936764026,0.996509098031
13,0.667386533842,0.895888269756,0.636388979364,1.00618053671
14,0.667073043298,0.897262321877,0.627054902995,1.03543993373
15,0.664948274061,0.89651229316,0.631930913015,1.02432409264
16,0.667003378733,0.894627426194,0.640150473057,1.01108266479
17,0.667630359822,0.897793097321,0.644190595361,0.991819725939
18,0.666655055907,0.896962801467,0.636806923158,1.02439200135
